{T1H1-X7AH46KL-5604PRSS},05/01/2017 07:02:54,Lillith.Chanda.Delgado@dtaa.com,Paloma.Haviva.Henry@dtaa.com,29902,0
{F3C1-B6ID46KU-7843TXXK},05/01/2017 08:42:27,Cedric.Cyrus.Harrison@dtaa.com,Rinah.Kiayada.Oconnor@dtaa.com,28688,0
{B8H6-F5PS54CW-1536VLYK},05/01/2017 09:31:34,Philip.Isaiah.Best@dtaa.com;Drew.Lucian.Sandoval@dtaa.com;Marshall.Fletcher.Guerrero@hotmail.com,Anthony.Bruce.Graham@dtaa.com,12914,0
{W5D7-E7EV86KA-9460HQMB},05/01/2017 09:41:52,Martin.Jonathan.Martin@dtaa.com,Ashely.Violet.Joyner@dtaa.com,17167,0
{S9T1-A5GP75OD-9137PEIM},05/01/2017 09:46:31,Hector.Jonah.Kim@dtaa.com;Jerry.Vincent.Shepherd@dtaa.com,Whilemina.Shafira.Perry@dtaa.com,24465,0
{S0F7-L7GR77DE-8109LUNR},05/01/2017 10:26:10,Jennifer.Teagan.Colon@dtaa.com,Kenyon.Arthur.Kent@dtaa.com,27403,0
{Q7K2-W1SR45XC-5518WUVH},05/01/2017 10:26:38,Bo.Mira.Dillard@dtaa.com;Kelly.Hashim.Carr@dtaa.com;Byron.Asher.Franks@yahoo.com,Ryder.Benjamin.Salas@dtaa.com,14838,0
{T0L2-V1YH34ZP-3807XSAP},05/01/2017 11:09:27,Josephine.Sylvia.Parsons@dtaa.com,Kenyon.Arthur.Kent@dtaa.com,44928,0
{B3Z3-O7TZ65EX-6363LKQT},05/01/2017 12:15:23,Garrison.George.Guerrero@dtaa.com,Rhona.Paula.Hammond@dtaa.com,20652,0
{X3E2-B9HG73BK-0205MEUO},05/01/2017 12:18:50,Prescott.Anthony.Whitley@dtaa.com,Whilemina.Shafira.Perry@dtaa.com,20320,0
{I7E7-B3VQ42PT-2253BLCY},05/01/2017 12:18:59,Ryder.Hector.Henson@dtaa.com;April.Quon.Hood@dtaa.com,Denise.Serina.Le@dtaa.com,32386,0
{V6U5-M8VV61HL-5058ZEVZ},05/01/2017 12:27:18,Denise.Serina.Le@dtaa.com,Cadman.Allen.Bailey@dtaa.com,17217,0
{M6C1-W2VN24WS-1855UYTJ},05/01/2017 12:47:08,Jaden.Lara.Higgins@dtaa.com;Iris.Yeo.Frye@dtaa.com,Halee.Morgan.Wilkins@dtaa.com,17117,1
{F3C6-T1WG77JR-8880UZCQ},05/01/2017 13:02:24,Ray.Norman.Morton@dtaa.com,Lucian.Rajah.Lloyd@dtaa.com,35086,0
{N6M5-T8VG60NE-2387WUXK},05/01/2017 13:20:49,Cedric.Cyrus.Harrison@dtaa.com,Rinah.Kiayada.Oconnor@dtaa.com,38184,0
{Z2D0-Z6VB90XD-9454BOCM},05/01/2017 14:55:52,Lucian.Rajah.Lloyd@dtaa.com,Athena.Sylvia.Russo@dtaa.com,29409,0
{D0W3-W4IF47IZ-8653ZCEF},05/01/2017 15:12:17,James.Harrison.Wynn@dtaa.com;Ingrid.Alma.Fields@dtaa.com;Garrison.George.Guerrero@dtaa.com,Emerald.Glenna.Lester@dtaa.com,48243,0
{N2Q8-B6JP49RF-6871VDHS},05/01/2017 15:49:31,Garrison.George.Guerrero@dtaa.com,Rhona.Paula.Hammond@dtaa.com,19472,0
{P1L8-Z3JW07BC-7263CZBA},05/01/2017 18:30:49,Jolene.Martha.Blake@dtaa.com;Martin.Jonathan.Martin@dtaa.com,Ashely.Violet.Joyner@dtaa.com,58161,0
{E3S2-H6ZU83FR-6065KHIW},05/02/2017 08:02:57,Hedwig.Angelica.Jacobs@dtaa.com,Denise.Serina.Le@dtaa.com,27753,0
